id	uri	name	diva	effect	howToGet	image	lastUpdated
010001	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%af%e3%83%ab%e3%82%ad%e3%83%a5%e3%83%bc%e3%83%ac%e3%83%bb%e3%83%a6%e3%83%8b%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a0	ワルキューレ・ユニフォーム	フレイア・ヴィオン	効果なし	最初から所持	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/cf6e4b6c-a997-332b-b5de-0e697f268c95.png	2018/04/04 15:00
010002	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%82%b7%e3%83%a5%e3%83%88%e3%83%a9%e3%83%bc%e3%83%ab	シュトラール	フレイア・ヴィオン	全ステータス2％アップ	覚悟のオーディション	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/950f4bb9-f8a0-3b1d-b029-f560a8b8e3d0.png	2017/09/11 15:00
010003	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%ad%e3%83%bc%e3%83%88%e3%82%b1%e3%83%bc%e3%83%97%e3%83%92%e3%82%a7%e3%83%b3	ロートケープヒェン	フレイア・ヴィオン	ライフ10％アップ	密航者フレイア	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/74dd02c1-ee9c-3d0f-8c7c-2c646c6437e4.png	2017/09/11 15:00
010004	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%96%e3%83%a9%e3%82%a6%e3%83%bb%e3%83%96%e3%83%ab%e3%83%bc%e3%83%a1	ブラウ・ブルーメ	フレイア・ヴィオン	ソウル10％アップ	5人目のヴィーナス	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/72634305-9bf6-3e08-ba13-778272ec4579.png	2017/10/31 15:00
010005	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%82%a8%e3%83%bc%e3%82%a2%e3%82%b9%e3%83%86%e3%83%bb%e3%83%aa%e3%83%bc%e3%83%99	エーアステ・リーベ	フレイア・ヴィオン	チャーム10％アップ	一生忘れない贈り物	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/512d502f-caec-3f16-a34c-92511bc457a0.png	2017/12/20 15:00
010006	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%95%e3%82%a9%e3%83%bc%e3%82%a2%e3%83%bb%e3%82%b7%e3%83%a5%e3%83%88%e3%83%bc%e3%82%b9	フォーア・シュトース	フレイア・ヴィオン	ソウルチャーム6%アップ	元気と情熱の歌声	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/73d6cc30-d37d-3df9-85eb-852f1162c428.png	2018/02/20 15:00
010007	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%92%e3%83%a5%e3%83%97%e3%82%b7%e3%83%a5%e3%83%bb%e3%82%af%e3%83%b4%e3%82%a1%e3%83%ac	ヒュプシュ・クヴァレ	フレイア・ヴィオン	愛属性プレートの全ステータス3%アップ	夏めく陽射しの下で	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/3f45350e-6aeb-3429-a547-b189becdb740.png	2018/04/04 15:00
010008	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%ac%e3%82%be%e3%83%8a%e3%83%b3%e3%83%84	レゾナンツ	フレイア・ヴィオン	トータル3％アップ	心の色	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/e2fd5ee9-2337-3472-9bf2-4027b1e76572.png	2018/06/21 15:00
010009	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%82%a8%e3%83%bc%e3%83%87%e3%83%ab%e3%83%bb%e3%82%b7%e3%83%a5%e3%83%b4%e3%82%a1%e3%83%b3	エーデル・シュヴァン	フレイア・ヴィオン	トータル＆サポート3%アップ	想いを繋ぐ歌声	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/d29e241e-6823-3bac-8b81-838149efa417.png	2018/09/29 15:00
010010	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%82%ac%e3%83%bc%e3%83%8d%e3%83%83%e3%83%88%e3%83%bb%e3%83%86%e3%82%a3%e3%83%bc%e3%83%b3	ガーネット・ティーン	フレイア・ヴィオン	トータル＆ライフ3%アップ	光と覚悟をあなたへ	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/0bc0ed08-4275-33b2-8a73-522cb2876e83.png	2018/11/02 15:00
010011	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%82%ad%e3%83%a2%e3%83%8e%e3%82%b7%e3%83%a5%e3%83%86%e3%82%a3%e3%83%bc%e3%83%ab	キモノシュティール	フレイア・ヴィオン	ボイス10％アップ	新年を祝う輝き	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/92dc48a0-1f04-3f04-b21a-86b86613c4a6.png	2018/12/31 23:59
010012	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%96%e3%83%a9%e3%82%a6%e3%82%a2%e3%83%bc%e3%82%a8%e3%82%b6%e3%83%bc	ブラウアーエザー	フレイア・ヴィオン	ソウルボイス6%アップ	極光 サファリング	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/745bec71-60df-3a7e-a7c6-d83a0bb431fc.png	2019/02/22 15:00
010013	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%82%b7%e3%83%a5%e3%83%86%e3%83%ab%e3%83%8d%e3%83%b3%e3%83%bb%e3%83%96%e3%83%a9%e3%82%a6	シュテルネン・ブラウ	フレイア・ヴィオン	ソウル10％アップ	銀河に吹き流れる風	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/aa592962-e231-3f8e-a223-0c5d9ddf40d2.png	2019/03/19 15:00
010014	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%83%a9%e3%82%a4%e3%83%87%e3%83%b3%e3%82%b7%e3%83%a3%e3%83%95%e3%83%88	ライデンシャフト	フレイア・ヴィオン	ボイス＆ライフ8%アップ	溢れるリズムと輝き	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/30bf128c-1568-372f-b672-759bc033238d.png	2019/05/03 15:00
010015	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e3%82%b3%e3%82%ba%e3%83%9f%e3%83%83%e3%82%af%e3%82%a2%e3%83%83%e3%83%97%e3%83%ab	コズミックアップル	フレイア・ヴィオン	チャーム＆ライフ8%アップ	ごりごり出航準備！	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/db24927e-74d1-3177-9907-60d7cf2e9233.png	2019/06/11 15:00
010016	/game/977/wiki/%e6%ad%8c%e5%a7%ab_%e8%a1%a3%e8%a3%85_%e3%83%95%e3%83%ac%e3%82%a4%e3%82%a2%e3%83%bb%e3%83%b4%e3%82%a3%e3%82%aa%e3%83%b3_%e8%a3%b8%e5%96%b0%e5%a8%98%e5%a8%98%e3%83%a1%e3%82%b5%e3%82%a4%e3%82%a2	裸喰娘娘メサイア	フレイア・ヴィオン	ソウルチャーム6%アップ	リバイバル・ドラゴン	https://cdn-image.pf.dena.com/fa9c327e33426cd5e3dff097aa3feee754c90f9a/1/bf25df08-d164-3b38-892a-1342c5e8c10e.png	2019/07/19 12:00
